high,low,last,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,interest_rate,volume,mark_iv,underlying_price,underlying_index,estimated_delivery_price,base_currency,quote_currency,volume_usd,mid_price,strike,expiration_timestamp,option_type,spread,spread_ratio,moneyness,intrinsic_value,mid_price_usd,arbitrage_opportunity
0.04,0.005,0.039,ETH-9APR26-2175-C,0.038,0.04,1543.0,0.039037,1775654883632,680.0,0.0,5852.0,64.66,2260.23,index_price,2260.23,ETH,ETH,276834.89,0.039,2175.0,1775721600000,call,0.0020000000000000018,0.05128205128205133,0.9622914482154471,85.23000000000002,88.14897,False
0.0095,0.003,0.006,ETH-24APR26-2700-C,0.007,0.008,15962.0,0.007417,1775654883632,81.8182,0.0,568.0,67.06,2260.23,ETH-24APR26,2260.23,ETH,ETH,6046.31,0.0075,2700.0,1777017600000,call,0.001,0.13333333333333333,1.194568694336417,0.0,16.951725,False
,,0.642,ETH-25SEP26-3300-P,0.4925,0.5165,2.0,0.501499,1775654883632,,0.0,0.0,65.49,2260.23,ETH-25SEP26,2260.23,ETH,ETH,0.0,0.5045,3300.0,1790323200000,put,0.023999999999999966,0.047571853320118866,1.4600284041889542,1039.77,1140.2860349999999,False
0.0195,0.0175,0.0195,ETH-12APR26-2225-P,0.016,0.017,27.0,0.016778,1775654883632,11.4286,0.0,27.0,59.26,2260.23,index_price,2260.23,ETH,ETH,1093.15,0.0165,2225.0,1775980800000,put,0.0010000000000000009,0.060606060606060656,0.9844130907031585,0.0,37.293795,False
0.058,0.0555,0.0565,ETH-26JUN26-2700-C,0.056,0.0575,4776.0,0.057123,1775654883632,-2.5862,0.0,82.0,64.58,2260.23,ETH-26JUN26,2260.23,ETH,ETH,10462.08,0.05675,2700.0,1782460800000,call,0.0015000000000000013,0.02643171806167403,1.194568694336417,0.0,128.2680525,False
,,,ETH-9APR26-2325-P,0.0305,0.035,0.0,0.03166,1775654883632,,0.0,0.0,66.5,2260.23,index_price,2260.23,ETH,ETH,0.0,0.03275,2325.0,1775721600000,put,0.004500000000000004,0.13740458015267187,1.0286563756785814,64.76999999999998,74.0225325,False
0.02,0.0006,0.008,ETH-9APR26-2275-C,0.008,0.0085,1285.0,0.008301,1775654883632,1233.3333,0.0,1380.0,61.27,2260.23,index_price,2260.23,ETH,ETH,21125.87,0.00825,2275.0,1775721600000,call,0.0005000000000000004,0.060606060606060656,1.00653473319087,0.0,18.6468975,False
0.026,0.022,0.0235,ETH-10APR26-2225-C,0.025,0.027,12.0,0.026227,1775654883632,-7.8431,0.0,23.0,62.93,2260.23,ETH-10APR26,2260.23,ETH,ETH,1222.33,0.026000000000000002,2225.0,1775808000000,call,0.0019999999999999983,0.07692307692307686,0.9844130907031585,35.23000000000002,58.765980000000006,False
0.11,0.049,0.11,ETH-10APR26-2000-C,0.1135,0.1165,3569.0,0.115439,1775654883633,124.4898,0.0,101.0,83.07,2260.23,ETH-10APR26,2260.23,ETH,ETH,13992.78,0.115,2000.0,1775808000000,call,0.0030000000000000027,0.026086956521739153,0.8848656995084571,260.23,259.92645,True
,,,ETH-10APR26-2275-P,0.0205,0.0215,0.0,0.021093,1775654883633,,0.0,0.0,63.15,2260.23,ETH-10APR26,2260.23,ETH,ETH,0.0,0.020999999999999998,2275.0,1775808000000,put,0.0009999999999999974,0.0476190476190475,1.00653473319087,14.769999999999982,47.46482999999999,False
0.0485,0.022,0.0425,ETH-24APR26-2300-C,0.0455,0.0465,19476.0,0.045937,1775654883633,93.1818,0.0,667.0,64.34,2260.23,ETH-24APR26,2260.23,ETH,ETH,54297.99,0.046,2300.0,1777017600000,call,0.0010000000000000009,0.02173913043478263,1.0175955544347257,0.0,103.97058,False
