high,low,last,interest_rate,instrument_name,bid_price,ask_price,open_interest,mark_price,creation_timestamp,price_change,volume,mark_iv,underlying_price,underlying_index,base_currency,quote_currency,estimated_delivery_price,volume_usd,mid_price,strike,expiration_timestamp,option_type,spread,spread_ratio,moneyness,intrinsic_value,mid_price_usd,arbitrage_opportunity
0.0043,0.0013,0.0015,0.0,BTC-30JUN26-54000-P,0.0012,0.0014,32.7,0.00135859,1782497953809,-31.8182,32.8,65.2,59924.95,index_price,BTC,BTC,59924.95,7427.1,0.0013,54000.0,1782806400000,put,0.0002000000000000001,0.1538461538461539,0.9011271598891614,0.0,77.902435,False
0.049,0.046,0.046,0.0,BTC-25JUN27-40000-P,0.0455,0.048,25.2,0.04653592,1782497953809,-6.1224,8.6,52.92,59924.95,BTC-25JUN27,BTC,BTC,59924.95,23903.68,0.04675,40000.0,1813910400000,put,0.0025000000000000022,0.05347593582887705,0.6675015999178974,0.0,2801.4914125,False
0.0013,0.0007,0.0008,0.0,BTC-31JUL26-79000-C,0.0007,0.0009,420.8,0.00076446,1782497953809,-27.2727,24.8,41.03,59924.95,BTC-31JUL26,BTC,BTC,59924.95,1763.33,0.0007999999999999999,79000.0,1785484800000,call,0.00019999999999999998,0.25,1.3183156598378472,0.0,47.93995999999999,False
0.021,0.007,0.021,0.0,BTC-28JUN26-59500-C,0.012,0.0135,39.1,0.01273514,1782497953809,40.0,61.0,33.18,59924.95,index_price,BTC,BTC,59924.95,52324.25,0.012750000000000001,59500.0,1782633600000,call,0.0014999999999999996,0.11764705882352937,0.9929086298778723,424.9499999999971,764.0431125,False
0.0036,0.0021,0.003,0.0,BTC-10JUL26-67000-C,0.0021,0.0024,1449.6,0.00237051,1782497953809,20.0,41.3,38.64,59924.95,BTC-10JUL26,BTC,BTC,59924.95,6874.73,0.00225,67000.0,1783670400000,call,0.0002999999999999999,0.1333333333333333,1.118065179862478,0.0,134.83113749999998,False
0.1705,0.1575,0.1575,0.0,BTC-26MAR27-62000-P,0.1555,0.1585,225.5,0.15701566,1782497953809,-7.6246,0.6,44.82,59924.95,BTC-26MAR27,BTC,BTC,59924.95,5844.88,0.157,62000.0,1806048000000,put,0.0030000000000000027,0.019108280254777087,1.0346274798727408,2075.050000000003,9408.21715,False
,,0.076,0.0,BTC-28AUG26-59000-C,0.0805,0.082,87.3,0.08100139,1782497953809,,0.0,43.29,59924.95,BTC-28AUG26,BTC,BTC,59924.95,0.0,0.08125,59000.0,1787904000000,call,0.0015000000000000013,0.018461538461538477,0.9845648598788985,924.9499999999971,4868.9021875,False
0.0105,0.0024,0.0024,0.0,BTC-29JUN26-57000-P,0.0021,0.0025,201.3,0.00239842,1782497953809,-65.7143,174.7,50.57,59924.95,index_price,BTC,BTC,59924.95,70819.53,0.0023,57000.0,1782720000000,put,0.0004000000000000002,0.17391304347826095,0.9511897798830037,0.0,137.827385,False
0.111,0.1015,0.111,0.0,BTC-25DEC26-58000-P,0.0995,0.1015,1105.4,0.10068377,1782497953809,6.7308,3.9,45.24,59924.95,BTC-25DEC26,BTC,BTC,59924.95,24266.53,0.1005,58000.0,1798185600000,put,0.0020000000000000018,0.019900497512437828,0.9678773198809512,0.0,6022.457475,False
0.012,0.0055,0.009,0.0,BTC-30JUN26-61000-C,0.008,0.0085,149.1,0.00848827,1782497953809,-25.0,154.7,39.59,59924.95,index_price,BTC,BTC,59924.95,83253.55,0.00825,61000.0,1782806400000,call,0.0005000000000000004,0.060606060606060656,1.0179399398747935,0.0,494.3808375,False
,,0.081,0.0,BTC-3JUL26-55000-C,0.0865,0.0895,0.1,0.08806659,1782497953809,,0.0,59.54,59924.95,BTC-3JUL26,BTC,BTC,59924.95,0.0,0.088,55000.0,1783065600000,call,0.0030000000000000027,0.03409090909090912,0.9178146998871088,4924.949999999997,5273.3956,False
0.024,0.0125,0.013,0.0,BTC-10JUL26-56000-P,0.0135,0.0145,2142.4,0.01393889,1782497953809,-10.3448,619.2,51.53,59924.95,BTC-10JUL26,BTC,BTC,59924.95,691564.43,0.014,56000.0,1783670400000,put,0.0010000000000000009,0.0714285714285715,0.9345022398850563,0.0,838.9493,False
0.059,0.059,0.059,0.0,BTC-26MAR27-80000-C,0.0575,0.0595,979.0,0.05852373,1782497953809,0.0,2.0,42.61,59924.95,BTC-26MAR27,BTC,BTC,59924.95,6997.94,0.058499999999999996,80000.0,1806048000000,call,0.001999999999999995,0.0341880341880341,1.3350031998357947,0.0,3505.6095749999995,False
0.0026,0.0019,0.0019,0.0,BTC-17JUL26-70000-C,0.0016,0.0019,1119.2,0.00185315,1782497953809,-9.5238,1108.3,38.48,59924.95,BTC-17JUL26,BTC,BTC,59924.95,164995.54,0.00175,70000.0,1784275200000,call,0.0002999999999999999,0.17142857142857137,1.1681277998563204,0.0,104.8686625,False
0.085,0.085,0.085,0.0,BTC-25DEC26-56000-P,0.086,0.088,122.5,0.08705193,1782497953809,0.0,1.0,46.05,59924.95,BTC-25DEC26,BTC,BTC,59924.95,5113.62,0.087,56000.0,1798185600000,put,0.0020000000000000018,0.022988505747126457,0.9345022398850563,0.0,5213.470649999999,False
,,0.245,0.0,BTC-25SEP26-75000-P,0.254,0.2585,2961.5,0.25612114,1782497953809,,0.0,38.95,59924.95,BTC-25SEP26,BTC,BTC,59924.95,0.0,0.25625,75000.0,1790323200000,put,0.004500000000000004,0.017560975609756113,1.2515654998460575,15075.050000000003,15355.768437499997,False
0.026,0.0049,0.0065,0.0,BTC-27JUN26-60000-P,0.0065,0.007,620.8,0.00690809,1782497953809,-64.8649,712.9,39.77,59924.95,index_price,BTC,BTC,59924.95,454992.39,0.00675,60000.0,1782547200000,put,0.0005000000000000004,0.07407407407407414,1.001252399876846,75.05000000000291,404.4934125,False
0.301,0.2816,0.2816,0.0,BTC-25DEC26-76000-P,0.286,0.2915,123.7,0.28887169,1782497953809,-6.4452,16.2,41.61,59924.95,BTC-25DEC26,BTC,BTC,59924.95,276235.64,0.28874999999999995,76000.0,1798185600000,put,0.005500000000000005,0.019047619047619067,1.2682530398440048,16075.050000000003,17303.329312499995,False
,,,0.0,BTC-25JUN27-85000-C,0.0665,0.0695,0.0,0.06766223,1782497953809,,0.0,42.95,59924.95,BTC-25JUN27,BTC,BTC,59924.95,0.0,0.068,85000.0,1813910400000,call,0.0030000000000000027,0.04411764705882357,1.4184408998255318,0.0,4074.8966,False
